id;datum;fallzahl;neue_faelle;genesene;todesfaelle;7_tage_inzidenz;rel_veraenderung_der_7_tage_inzidenz;7_tage_hosp_inzidenz;its_belegung
2043;2022-01-25;485309;17416;335148;4094;1822,0;47,9;16,8;18,0
2040;2022-01-24;467893;13211;332355;4088;1664,6;46,1;15,6;17,5
2037;2022-01-23;454682;683;329602;4085;1667,6;47,2;16,8;17,2
2034;2022-01-22;453999;2367;328758;4084;1634,3;44,2;16,9;16,8
2031;2022-01-21;451632;14089;327299;4082;1479,7;38,6;16,3;16,0
2028;2022-01-20;437543;10679;325874;4077;1311,3;37,1;14,7;16,8
2025;2022-01-19;426864;11449;323633;4073;1178,4;40,3;13,4;17,8
2022;2022-01-18;415415;10732;321226;4072;1101,5;47,9;12,6;17,6
2019;2022-01-17;404683;7559;318467;4067;1058,0;58,6;12,9;18,4
2016;2022-01-16;397124;220;315322;4067;1043,6;71,5;13,1;17,8
2013;2022-01-15;396904;2245;314579;4067;1044,6;84,8;13,5;18,5
2010;2022-01-14;394659;6069;313655;4067;1031,9;95,7;13,1;18,3
2007;2022-01-13;388590;7238;311533;4063;1011,3;103,9;11,2;18,8
2004;2022-01-12;381352;7797;309255;4058;948,3;107,2;11,1;17,9
2001;2022-01-11;373555;8862;307182;4045;871,1;106,6;10,6;19,1
1998;2022-01-10;364693;5276;304881;4043;781,9;102,3;10,6;19,1
1995;2022-01-09;359417;1057;302449;4038;778,2;95,0;9,3;18,8
1992;2022-01-08;358360;1712;301838;4038;733,3;72,9;9,2;18,7
1989;2022-01-07;356648;6051;301111;4036;599,8;44,7;9,4;18,3
1986;2022-01-06;350597;5962;299529;4032;501,6;22,8;8,9;18,2
1983;2022-01-05;344635;5443;297710;4029;418,6;7,3;8,7;18,0
1980;2022-01-04;339192;4226;295290;4025;362,5;'-1,5';9,3;18,7
1977;2022-01-03;334966;3196;293004;4020;327,0;'-5,7';9,1;18,5
1974;2022-01-02;331770;479;290517;4016;319,7;'-6,7';7,6;18,9
1971;2022-01-01;331291;73;289993;4016;330,4;'-7,0';7,2;18,6
1968;2021-12-31;331218;701;289166;4016;319,2;'-7,6';7,2;19,0
1965;2021-12-30;330517;2777;287169;4016;301,4;'-6,7';8,1;19,1
1962;2021-12-29;327740;1939;284871;4010;295,7;'-4,2';8,2;19,1
1959;2021-12-28;325801;2652;282769;4002;299,2;'-1,8';8,3;19,7
1956;2021-12-27;323149;2457;280359;3996;315,2;0,3;8,1;19,4
1953;2021-12-26;320692;646;278109;3991;309,4;1,4;6,7;19,2
1950;2021-12-25;320046;51;277522;3988;304,1;2,9;6,7;19,5
1947;2021-12-24;319995;564;276594;3988;344,0;4,7;6,6;19,7
1944;2021-12-23;319431;2000;274331;3988;358,7;2,7;7,3;20,0
1941;2021-12-22;317431;2488;272013;3986;356,8;'-1,0';8,1;20,8
1938;2021-12-21;314943;2294;269245;3976;349,2;'-3,9';7,7;20,9
1935;2021-12-20;312649;2941;266689;3969;338,0;'-6,3';8,7;22,0
1932;2021-12-19;309708;243;263830;3964;336,4;'-8,1';7,6;22,7
1929;2021-12-18;309465;439;263180;3964;332,8;'-9,4';7,5;23,0
1926;2021-12-17;309026;2261;262301;3955;319,7;'-10,2';7,5;22,3
1923;2021-12-16;306765;2391;260130;3944;309,9;'-10,5';7,5;22,4
1920;2021-12-15;304374;2271;257879;3938;319,9;'-9,7';7,4;22,9
1917;2021-12-14;302103;2089;255315;3932;326,2;'-9,7';9,3;22,5
1914;2021-12-13;300014;2579;252835;3926;327,6;'-9,5';9,4;23,7
1911;2021-12-12;297435;156;250063;3924;331,6;'-9,2';11,2;23,0
1908;2021-12-11;297279;315;249389;3924;338,7;'-8,3';11,1;23,3
1905;2021-12-10;296964;1596;248377;3922;356,1;'-7,0';11,1;23,2
1902;2021-12-09;295368;2178;246254;3904;369,8;'-5,4';10,8;24,7
1899;2021-12-08;293190;2618;244047;3886;360,6;'-4,3';10,9;24,1
1896;2021-12-07;290572;2910;241703;3877;366,0;'-2,6';10,6;23,2
1893;2021-12-06;287662;2614;239702;3867;370,9;'-1,3';9,2;22,3
1890;2021-12-05;285048;308;237387;3855;372,5;0,2;11,4;
1887;2021-12-04;284740;439;236920;3855;374,5;1,7;11,4;
1884;2021-12-03;284301;2244;236192;3853;384,4;3,0;11,4;22,1
1881;2021-12-02;282057;2539;234813;3849;385,0;3,7;11,0;21,0
1878;2021-12-01;279518;2544;233283;3844;401,3;4,8;11,7;20,2
1875;2021-11-30;276974;2552;231481;3835;400,0;5,0;9,6;19,6
1872;2021-11-29;274422;3172;230060;3830;408,3;6,1;9,8;19,1
1869;2021-11-28;271250;287;228740;3823;405,2;7,3;9,4;
1866;2021-11-27;270963;546;228329;3823;397,8;8,2;9,4;
1863;2021-11-26;270417;2558;227809;3818;382,9;9,6;9,4;19,1
1860;2021-11-25;267859;2843;226799;3814;377,9;12,4;11,1;19,4
1857;2021-11-24;265016;2711;225819;3795;378,3;15,8;12,2;19,6
1854;2021-11-23;262305;2867;224631;3788;383,7;20,7;11,9;18,8
1851;2021-11-22;259438;3262;223593;3784;375,7;25,6;12,2;18,7
1848;2021-11-21;256176;104;222616;3779;375,8;32,2;11,4;
1845;2021-11-20;256072;127;222206;3779;380,3;37,9;11,4;
1842;2021-11-19;255945;2398;221730;3779;379,6;41,8;11,4;17,6
1839;2021-11-18;253547;2321;220861;3777;372,0;44,8;11,2;16,8
1836;2021-11-17;251226;2795;220146;3773;368,2;47,6;10,4;16,0
1833;2021-11-16;248431;2886;219328;3767;346,5;48,9;10,5;15,6
1830;2021-11-15;245545;2593;218526;3762;329,3;50,4;10,3;15,4
1827;2021-11-14;242952;147;217706;3759;324,9;52,3;10,0;
1824;2021-11-13;242805;475;217384;3759;315,2;51,1;10,0;
1821;2021-11-12;242330;2149;217007;3759;296,9;46,9;10,0;13,7
1818;2021-11-11;240181;2185;216303;3756;282,7;42,2;8,2;13,5
1815;2021-11-10;237996;2873;215664;3753;251,7;36,6;6,7;12,9
1812;2021-11-09;235123;1657;214876;3746;233,8;33,7;7,2;12,8
1809;2021-11-08;233466;2209;214214;3740;207,3;32,4;6,7;12,4
1806;2021-11-07;231257;87;213524;3735;206,9;33,8;6,5;
1803;2021-11-06;231170;134;213181;3735;207,1;32,9;6,5;
1800;2021-11-05;231036;1675;212808;3735;196,1;29,5;6,5;11,5
1797;2021-11-04;229361;1560;212171;3729;180,6;26,3;6,5;10,9
1794;2021-11-03;227801;1525;211520;3719;170,2;25,1;6,4;10,7
1791;2021-11-02;226276;1240;210839;3717;164,6;25,9;6,2;11,2
1788;2021-11-01;225036;1500;210117;3709;155,8;26,8;5,9;11,2
1785;2021-10-31;223536;81;209485;3704;153,8;28,9;6,0;
1782;2021-10-30;223455;178;209153;3704;153,6;29,9;6,0;
1779;2021-10-29;223277;869;208824;3704;146,9;29,3;6,0;11,7
1776;2021-10-28;222408;1073;208305;3700;139,8;28,7;5,7;10,9
1773;2021-10-27;221335;1147;207831;3691;133,6;27,9;5,4;10,2
1770;2021-10-26;220188;1082;207249;3684;124,3;26,9;5,4;9,2
1767;2021-10-25;219106;995;206615;3677;122,7;27,1;5,3;9,7
1764;2021-10-24;218111;67;206038;3677;123,5;26,6;4,5;
1761;2021-10-23;218044;184;205738;3677;121,9;23,7;4,5;
1758;2021-10-22;217860;707;205454;3677;118,9;19,7;4,5;9,1
1755;2021-10-21;217153;713;204927;3671;112,4;15,1;4,4;9,4
1752;2021-10-20;216440;1090;204462;3670;102,6;11,2;4,2;9,5
1749;2021-10-19;215350;824;203909;3667;98,6;8,4;3,9;9,2
1746;2021-10-18;214526;894;203401;3665;93,4;6,5;3,9;9,5
1743;2021-10-17;213632;43;202814;3664;92,2;5,7;3,2;
1740;2021-10-16;213589;128;202530;3664;90,1;4,9;3,2;
1737;2021-10-15;213461;578;202257;3664;87,6;4,4;3,2;9,3
1734;2021-10-14;212883;699;201796;3663;87,5;4,3;3,1;9,4
1731;2021-10-13;212184;554;201334;3658;87,0;4,5;2,9;9,2
1728;2021-10-12;211630;698;200787;3657;85,9;5,3;2,6;8,3
1725;2021-10-11;210932;667;200240;3655;84,5;6,6;2,7;8,9
1722;2021-10-10;210265;25;199685;3647;85,4;7,8;2,5;
1719;2021-10-09;210240;140;199410;3647;84,2;8,5;2,5;
